Id;Title;Description;StartDate;EventType;EventPriority
2;Koncert Taco Hemingway;Super wydarzenie, polecamy!!!;17.05.2024 19:30:51;Entertainment;HighPriority
3;Mecz Zaglebie vs Gieksa;ZAGLEBIE CZY GIEKSA???ODWAŻYSZ SIE?!;06.06.2024 20:30:53;Sport;HighPriority
4;Piwo z ziomkami;Pyszne piwerko z ziomeczkami;09.05.2024 15:40:06;Health;LowPriority
6;Wypad do Energylandii;Rollecoastery i takie tam, wiesz o co chodzi;28.05.2024 09:00:47;Entertainment;LowPriority
17;Wypad do legendii;Bliższa mini Energylandia, zapraszamy!!!;30.04.2024 11:00:48;Entertainment;MediumPriority
20;Piknik przy szkole;Zapraszamy na piknik przy szkole podstawowej nr.10 im.Leo Messiego;15.06.2024 13:30:49;Family;LowPriority
23;Koło naukowców;Zapraszamy na koło naukowców na Politechnice Śląskiej. Spora dawka wiedzy i zabawy;17.06.2024 17:30:36;Work;LowPriority
34;Okulista;Wizyta u okulisty;01.06.2024 12:30:08;Health;HighPriority
35;Siatkówka ze znajomymi;Mecz w siatkówkę zez znajomymi;05.05.2024 17:00:43;Sport;MediumPriority
42;Noc świateł;Noc świateł w Katowicach koło Galerii Katowickiej, zapraszamy!;25.05.2024 22:00:29;Entertainment;MediumPriority
44;Pogoria halfcamp;Półkolonie organizowane na Pogorii III, świetna zabawa NIE TYLKO dla dzieci.;01.07.2024 09:30:33;Family;MediumPriority
45;Dzień zwierząt w pracy;Zabierz swoje zwierzę ze sobą do pracy!!!;24.05.2024 08:00:56;Work;LowPriority
46;Rodzinny dzień zwierząt;Zapraszamy na rodzinne spotkanie ze zwierzętami na głównej plaży Pogoria III;24.05.2024 16:00:59;Family;MediumPriority
